player,team,event_type,result,original_x,original_y,converted_x,converted_y
Devin Booker,PHX,shot,made,146,214,39.6,26.4
Devin Booker,PHX,shot,made,161,-12,41.1,3.8
Devin Booker,PHX,shot,made,146,206,39.6,25.6
Devin Booker,PHX,shot,made,2,17,25.2,6.7
Devin Booker,PHX,shot,made,-14,5,23.6,5.5
Devin Booker,PHX,shot,made,-87,96,33.7,79.4
Devin Booker,PHX,shot,made,106,237,14.4,65.3
Devin Booker,PHX,shot,made,58,123,19.2,76.7
Devin Booker,PHX,shot,made,0,6,25,88.4
Devin Booker,PHX,shot,made,-170,178,42,71.2
Devin Booker,PHX,shot,made,124,24,12.6,86.6
Devin Booker,PHX,shot,made,-3,4,25.3,88.6
Devin Booker,PHX,shot,made,2,5,24.8,88.5
Devin Booker,PHX,shot,made,33,90,21.7,80
Devin Booker,PHX,shot,made,223,78,2.7,81.2
Devin Booker,PHX,shot,made,14,22,23.6,86.8
Devin Booker,PHX,shot,made,78,127,17.2,76.3
Devin Booker,PHX,shot,made,-16,35,26.6,85.5
Devin Booker,PHX,shot,made,44,194,20.6,69.6
Devin Booker,PHX,shot,made,3,8,24.7,88.2
Devin Booker,PHX,shot,made,5,15,24.5,87.5
Devin Booker,PHX,shot,made,3,9,24.7,88.1
Devin Booker,PHX,shot,made,-2,31,25.2,85.9
Devin Booker,PHX,shot,made,2,-4,24.8,89.4
Devin Booker,PHX,shot,made,-226,96,47.6,79.4
Devin Booker,PHX,shot,made,5,274,24.5,61.6
Devin Booker,PHX,shot,made,1,4,24.9,88.6
Devin Booker,PHX,shot,made,0,8,25,88.2
Devin Booker,PHX,shot,made,-77,58,32.7,83.2
Devin Booker,PHX,shot,made,4,4,24.6,88.6
Devin Booker,PHX,shot,made,-87,239,33.7,65.1
Devin Booker,PHX,shot,made,-35,94,28.5,79.6
Devin Booker,PHX,shot,made,72,37,17.8,85.3
Devin Booker,PHX,shot,made,-8,4,25.8,88.6
Devin Booker,PHX,shot,made,-18,8,26.8,88.2
Devin Booker,PHX,shot,made,13,3,23.7,88.7
Devin Booker,PHX,shot,made,101,-6,14.9,89.6
Devin Booker,PHX,shot,made,-22,15,27.2,87.5
Devin Booker,PHX,shot,made,161,211,8.9,67.9
Devin Booker,PHX,shot,made,-8,-5,25.8,89.5
Devin Booker,PHX,shot,made,2,4,24.8,88.6
Devin Booker,PHX,shot,made,1,-6,24.9,89.6
Devin Booker,PHX,shot,made,-98,50,34.8,84
Devin Booker,PHX,shot,made,0,92,25,79.8
Devin Booker,PHX,shot,made,71,124,17.9,76.6
Devin Booker,PHX,shot,made,-66,47,31.6,84.3
Devin Booker,PHX,shot,made,124,226,12.6,66.4
Devin Booker,PHX,shot,made,2,130,24.8,76
Devin Booker,PHX,shot,made,229,48,2.1,84.2
Devin Booker,PHX,shot,made,-87,68,33.7,82.2
Devin Booker,PHX,shot,made,-52,23,30.2,86.7
Devin Booker,PHX,shot,made,-85,168,16.5,21.8
Devin Booker,PHX,shot,made,-148,11,10.2,6.1
Devin Booker,PHX,shot,made,6,153,25.6,20.3
Devin Booker,PHX,shot,made,0,-3,25,4.7
Devin Booker,PHX,shot,made,-39,113,21.1,16.3
Devin Booker,PHX,shot,made,-141,209,10.9,25.9
Devin Booker,PHX,shot,made,-2,-4,24.8,4.6
Devin Booker,PHX,shot,made,-7,8,24.3,5.8
Devin Booker,PHX,shot,made,-7,5,24.3,5.5
Devin Booker,PHX,shot,made,-3,132,24.7,18.2
Devin Booker,PHX,shot,made,6,254,25.6,30.4
Devin Booker,PHX,shot,made,-4,6,24.6,5.6
Devin Booker,PHX,shot,made,-81,244,16.9,29.4
Devin Booker,PHX,shot,made,-60,254,19,30.4
Devin Booker,PHX,shot,made,9,9,25.9,5.9
Devin Booker,PHX,shot,made,-16,251,23.4,30.1
Devin Booker,PHX,shot,made,-12,10,23.8,6
Devin Booker,PHX,shot,made,-57,63,19.3,11.3
Devin Booker,PHX,shot,made,47,248,29.7,29.8
Devin Booker,PHX,shot,made,5,6,25.5,5.6
Devin Booker,PHX,shot,made,7,11,25.7,6.1
Devin Booker,PHX,shot,made,7,7,25.7,5.7
Devin Booker,PHX,shot,made,11,15,26.1,6.5
